
2025-07-12 15:30:19 | VoiceTree Original | 38d284a94e | 2/5 (Poor)** | ...
2025-07-13 14:43:46 | VT Original | d8a3c88864 | 1.0/5 (Unusable) | The system's biggest area for improvement is its fundamental inability to extract any content, topics, or relationships from the transcript, resulting in a completely empty and structurally incorrect tree.
2025-07-13 14:45:52 | VT Original | d8a3c88864 | 1.0/5 (Unusable) | The system failed to extract any meaningful content, titles, or relationships from the transcript, resulting in a generic and structurally incorrect tree of empty placeholder nodes.
2025-07-13 15:00:55 | VT Original | d8a3c88864 | 1.0/5 (Unusable) | The system completely failed to extract any meaningful content, structure, or relationships from the transcript, producing only a generic, empty, and incorrectly structured template.
2025-07-13 20:14:51 | VT Original | d8a3c88864 | 3.7/5 (Good) | The tree's primary weakness is its tendency to over-fragment continuous thoughts into multiple nodes, which impacts conciseness and optimal node structure.
2025-07-13 20:44:30 | VT Original | 80d5bfb166 | 1.0/5 (Unusable) | The system failed to extract any content or structure from the transcript, producing an irrelevant and empty output that has no connection to the source material.
2025-07-13 20:49:16 | VT Original | 8725140b73 | 3.0/5 (Acceptable) | The system's main weakness is in establishing a correct and complete hierarchical structure, which results in orphaned nodes, incorrect parent-child relationships, and some content redundancy.
2025-07-13 21:09:42 | VT Original | 8db7202d34 | 4.2/5 (Good) | The biggest areas for improvement are in creating complete and descriptive summaries for each node and refining the hierarchical structure for sequential sub-tasks.
2025-07-15 13:20:14 | VT Original | f3b21ba7b9 | 3.5/5 (Good) | The biggest areas for improvement are ensuring all nodes are correctly connected within the tree hierarchy and refining the descriptions of the relationships between them.
2025-07-16 14:52:28 | VT Original | 00ce3e485c | 3.3/5 (Acceptable) | The system's primary weakness is its failure to establish a fully connected tree, leaving major topics disconnected from the root node and creating an incoherent overall structure.
2025-07-16 19:14:37 | VT Original | 304ed79bc7 | 3.7/5 (Good) | The biggest area for improvement is in establishing the correct high-level relationships between all main topics to form a single, coherent tree instead of a fragmented forest.
2025-07-17 19:19:46 | VT Original | 1872c37a22 | 3.3/5 (Good) | The system's primary weaknesses are a failure to create a fully connected tree, resulting in major coherence issues, and a tendency to fragment single concepts into multiple redundant nodes.
2025-07-17 22:09:17 | VT Original | 1872c37a22 | 3.5/5 (Good) | The biggest area for improvement is in the generation of meaningful, concise summaries for each node, as they are often just truncated, unhelpful quotes from the transcript.
2025-07-17 22:17:33 | VT Original | 1872c37a22 | 3.0/5 (Acceptable) | The system struggles to represent the sequential flow of tasks and often includes content from multiple distinct ideas within a single node, undermining the tree's logical structure.
2025-07-18 16:57:52 | VT Original | e88773c342 | 2.3/5 (Poor) | The system's primary weakness is in creating a coherent and concise structure, resulting in fragmented, redundant, and disconnected nodes that fail to form a unified tree.
2025-07-19 10:28:17 | VT Original | d8ed242314 | 2.5/5 (Poor) | The system's primary weakness is its failure to establish a coherent, unified tree structure, leaving most key topics as disconnected nodes and critically misinterpreting parts of the transcript.
2025-07-19 11:40:29 | VT Original | cffee24508 | 2.3/5 (Poor) | The biggest areas for improvement are reducing significant node redundancy and correcting the illogical hierarchical structure, which often inverts the actual parent-child relationships described in the transcript.
2025-07-19 11:52:05 | VT Original | cffee24508 | 3.2/5 (Acceptable) | The biggest area for improvement is ensuring all nodes are correctly linked within a coherent parent-child hierarchy, as the current tree has major structural flaws with orphaned nodes.
2025-07-19 12:02:30 | VT Original | cffee24508 | 2.5/5 (Poor-to-Acceptable) | The system struggles with accuracy, misinterpreting key goals and technical terms, and fails to build a coherent, logical hierarchy that reflects the speaker's structured plan.
2025-07-19 12:08:42 | VT Original | cffee24508 | 2.5/5 (Poor-to-Acceptable) | The tree suffers from a broken structure with an orphan root node and inaccurate content grouping, which undermines its overall coherence and usability.
2025-07-19 13:32:06 | VT Original | eb20714d64 | 3.0/5 (Acceptable) | The biggest areas for improvement are the accuracy of the extracted content, which includes critical misinterpretations and omissions, and the logical hierarchy of the tree, which flattens distinct workstreams into a single level.
2025-07-19 13:58:04 | VT Original | eb20714d64 | 2.8/5 (Acceptable) | The biggest area for improvement is in the extraction and summarization of content for each node, which is currently fragmented, incomplete, and lacks the original transcript's logical flow and key details.
2025-07-19 14:55:24 | VT Original | e2077a8d4c | 2.5/5 (Poor) | The system's primary weaknesses are its failure to create a correct hierarchical structure and its reliance on long, un-summarized, and sometimes inaccurate quotes for node content.
2025-07-19 14:59:31 | VT Original | e2077a8d4c | 2.8/5 (Acceptable) | The system's biggest areas for improvement are in conciseness and node structure, as it creates too many redundant and fragmented nodes from single concepts.
2025-07-19 15:08:56 | VT Original | c90bbb96ab | 2.8/5 (Acceptable) | The tree suffers from poor hierarchical organization, creating redundant nodes and illogical parent-child relationships that obscure the speaker's intended plan.
2025-07-19 15:43:46 | VT Original | a50035d1b0 | 2.7/5 (Acceptable) | The system's biggest areas for improvement are reducing severe node redundancy and creating a more logical, hierarchical tree structure instead of a flat list of topics.
2025-07-19 16:12:09 | VT Original | a50035d1b0 | 4.0/5 (Good) | The biggest area for improvement is in creating a more hierarchical structure that better reflects the sub-task relationships and priorities mentioned in the transcript.
